"School.Name","School.Type","Starting.Median.Salary.x","Mid.Career.Median.Salary.x","Mid.Career.10th.Percentile.Salary.x","Mid.Career.25th.Percentile.Salary.x","Mid.Career.75th.Percentile.Salary.x","Mid.Career.90th.Percentile.Salary.x","Region","Ivy.Type","Start.Mid.Salary.Diff"
"California State University, East Bay (CSUEB)","State",49200,84300,"$46,000.00","$62,400.00","$115,000.00","$155,000.00","California",0,35100
"California State University, Fullerton (CSUF)","State",45700,87000,"$45,400.00","$62,500.00","$119,000.00","$158,000.00","California",0,41300
"California State University, Long Beach (CSULB)","State",45100,84700,"$47,400.00","$62,500.00","$113,000.00","$154,000.00","California",0,39600
"California State University, Northridge (CSUN)","State",45500,80400,"$44,500.00","$57,800.00","$108,000.00","$153,000.00","California",0,34900
"California State University, Sacramento (CSUS)","State",47800,82400,"$42,900.00","$59,600.00","$111,000.00","$154,000.00","California",0,34600
"Carleton College","Liberal Arts",47500,103000,"N/A","$69,400.00","$141,000.00","N/A","Midwestern",0,55500
"Carnegie Mellon University (CMU)","Engineering",61800,111000,"$63,300.00","$80,100.00","$150,000.00","$209,000.00","Northeastern",0,49200
"Clemson University","State",48400,86000,"$50,500.00","$61,800.00","$111,000.00","$150,000.00","Southern",0,37600
"Cleveland State University","State",43500,73100,"$39,500.00","$51,600.00","$97,000.00","$137,000.00","Midwestern",0,29600
"Colby College","Liberal Arts",46400,85800,"N/A","$63,500.00","$129,000.00","N/A","Northeastern",0,39400
"Colgate University","Liberal Arts",52800,108000,"$60,000.00","$76,700.00","$167,000.00","$265,000.00","Northeastern",0,55200
"College of the Holy Cross","Liberal Arts",50200,106000,"N/A","$65,600.00","$143,000.00","N/A","Northeastern",0,55800
"Colorado College (CC)","Liberal Arts",38500,81400,"N/A","$43,000.00","$148,000.00","N/A","Western",0,42900
"Colorado School of Mines","Engineering",58100,106000,"$62,200.00","$87,900.00","$142,000.00","$201,000.00","Western",0,47900
"Colorado State University (CSU)","State",44800,79000,"$43,800.00","$57,100.00","$112,000.00","$150,000.00","Western",0,34200
"Columbia University","Ivy League",59400,107000,"$50,300.00","$71,900.00","$161,000.00","$241,000.00","Northeastern",1,47600
"Cooper Union","Engineering",62200,114000,"N/A","$80,200.00","$142,000.00","N/A","Northeastern",0,51800
"Cornell University","Ivy League",60300,110000,"$56,800.00","$79,800.00","$160,000.00","$210,000.00","Northeastern",1,49700
"Dartmouth College","Ivy League",58000,134000,"$63,100.00","$90,200.00","$234,000.00","$321,000.00","Northeastern",1,76000
"Davidson College","Liberal Arts",46100,104000,"N/A","$70,500.00","$146,000.00","N/A","Southern",0,57900
"Denison University","Liberal Arts",42000,83500,"N/A","$62,100.00","$122,000.00","N/A","Midwestern",0,41500
"DePauw University","Liberal Arts",41400,88300,"$49,500.00","$57,400.00","$133,000.00","$185,000.00","Midwestern",0,46900
"East Carolina University (ECU)","State",40200,67500,"$38,400.00","$52,000.00","$98,700.00","$151,000.00","Southern",0,27300
"Eastern Michigan University","State",40300,72100,"$37,900.00","$52,800.00","$95,400.00","$135,000.00","Midwestern",0,31800
"Eastern Washington University","State",38600,70900,"$36,000.00","$50,500.00","$93,100.00","$117,000.00","Western",0,32300
"Embry-Riddle Aeronautical University (ERAU)","Engineering",52700,80700,"$49,800.00","$64,000.00","$106,000.00","$142,000.00",NA,0,28000
"Evergreen State College","Liberal Arts",39500,63900,"$38,800.00","$47,200.00","$91,600.00","$120,000.00","Western",0,24400
"Fitchburg State College","State",42400,72600,"$43,300.00","$56,100.00","$99,600.00","$151,000.00","Northeastern",0,30200
"Florida Atlantic University (FAU)","State",42600,71100,"$40,700.00","$53,000.00","$99,500.00","$137,000.00","Southern",0,28500
"Florida International University (FIU)","State",43200,75500,"$40,500.00","$55,800.00","$98,200.00","$136,000.00","Southern",0,32300
"Florida State University (FSU)","Party",42100,73000,"$39,600.00","$52,800.00","$107,000.00","$156,000.00","Southern",0,30900
"Florida State University (FSU)","State",42100,73000,"$39,600.00","$52,800.00","$107,000.00","$156,000.00","Southern",0,30900
"Fort Lewis College","Liberal Arts",42000,69800,"N/A","$55,000.00","$94,000.00","N/A","Western",0,27800
"Franklin and Marshall College","Liberal Arts",49100,92800,"N/A","$55,800.00","$185,000.00","N/A","Northeastern",0,43700
"George Mason University","State",47800,86900,"$51,300.00","$67,200.00","$114,000.00","$150,000.00","Southern",0,39100
"Georgia Institute of Technology","Engineering",58300,106000,"$67,200.00","$85,200.00","$137,000.00","$183,000.00","Southern",0,47700
"Georgia State University","State",41800,74000,"$43,000.00","$55,300.00","$99,900.00","$145,000.00","Southern",0,32200
"Gettysburg College","Liberal Arts",44700,85800,"N/A","$66,300.00","$132,000.00","N/A","Northeastern",0,41100
"Grinnell College","Liberal Arts",42600,76600,"N/A","$65,100.00","$116,000.00","N/A","Midwestern",0,34000
"Gustavus Adolphus College","Liberal Arts",44500,80600,"N/A","$49,300.00","$101,000.00","N/A","Midwestern",0,36100
"Hamilton College","Liberal Arts",49200,83700,"N/A","$51,900.00","$123,000.00","N/A","Northeastern",0,34500
"Harvard University","Ivy League",63400,124000,"$54,800.00","$86,200.00","$179,000.00","$288,000.00","Northeastern",1,60600
"Harvey Mudd College","Engineering",71800,122000,"N/A","$96,000.00","$180,000.00","N/A","California",0,50200
"Humboldt State University","State",42600,71300,"$36,000.00","$56,300.00","$94,400.00","$117,000.00","California",0,28700
